
Iteracion no.:18

x	 y	 z

21603354148864.000000	 1170598264832.000000	 3723850153984.000000

37717827584.000000	 504286707712.000000	 416615497728.000000

21075191808.000000	 32384423936.000000	 75023671296.000000

9173603328.000000	 24837251072.000000	 46995664896.000000

30241509376.000000	 10367010816.000000	 24611973120.000000

8748306432.000000	 19571402752.000000	 34156802048.000000

5736718336.000000	 4596302848.000000	 10189690880.000000

1892871296.000000	 2333031936.000000	 5644934656.000000

5356426.500000	 4516037.500000	 1942263.000000

