
Iteracion no.:12

x	 y	 z

6371240050688.000000	 345231753216.000000	 1098233872384.000000

11123704832.000000	 148723580928.000000	 122867671040.000000

6215414272.000000	 9550688256.000000	 22125725696.000000

2705416704.000000	 7324804608.000000	 13859599360.000000

8918434816.000000	 3057299200.000000	 7258241536.000000

2579865344.000000	 5771587072.000000	 10072813568.000000

1691735552.000000	 1355431552.000000	 3004900864.000000

558194368.000000	 687995008.000000	 1664654720.000000

1579720.625000	 1329546.250000	 571174.812500

