
Iteracion no.:11

x	 y	 z

4901235064832.000000	 265578135552.000000	 844843712512.000000

8557181440.000000	 114409242624.000000	 94518960128.000000

4781343232.000000	 7347076608.000000	 17020704768.000000

2081189504.000000	 5634731008.000000	 10661737472.000000

6860597760.000000	 2351858176.000000	 5583476224.000000

1984560128.000000	 4439790592.000000	 7748509184.000000

1301351424.000000	 1042652672.000000	 2311491328.000000

429378720.000000	 529225184.000000	 1280499840.000000

1215119.750000	 1022193.437500	 439001.062500

