
Iteracion no.:14

x	 y	 z

10137530007552.000000	 549311774720.000000	 1747443384320.000000

17699366912.000000	 236640092160.000000	 195499720704.000000

9889638400.000000	 15196553216.000000	 35205267456.000000

4304741888.000000	 11654930432.000000	 22052818944.000000

14190790656.000000	 4864701440.000000	 11549135872.000000

4105084672.000000	 9183751168.000000	 16027859968.000000

2691918336.000000	 2156784640.000000	 4781447680.000000

888219520.000000	 1094762624.000000	 2648858112.000000

2513729.000000	 2117232.250000	 910002.187500

